                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8928,                 2.6524,                 1.2852,                   0.01,                      1,                0.37313,                0.29466,                0.63271,                  2.415,                0.99816,                  4e-05,                  4e-05,                  4e-05
                      2,                0.81791,                 2.4598,                 1.1613,                   0.01,                      1,                0.42643,                0.34242,                0.60413,                 2.4028,                0.98069,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      3,                 0.8826,                 2.4087,                 1.1542,                   0.01,                      1,                 0.4975,                 0.3985,                0.55437,                 2.3853,                0.95432,             0.00015873,             0.00015873,             0.00015873
                      4,                0.88824,                  2.081,                 1.2181,                   0.01,                      1,                  0.597,                0.51112,                0.48634,                 2.3655,                0.92401,             0.00021739,             0.00021739,             0.00021739
                      5,                0.78892,                 2.1212,                 1.0504,                   0.01,                      1,                  0.597,                0.51447,                0.52822,                 2.3182,                0.93249,             0.00027556,             0.00027556,             0.00027556
                      6,                0.89997,                 1.8371,                 1.1211,                   0.01,                      1,                  0.731,                 0.6434,                0.57733,                 2.2058,                0.96916,             0.00033327,             0.00033327,             0.00033327
                      7,                0.72246,                 1.6425,                  1.114,                   0.01,                      1,                  0.731,                0.63842,                0.59994,                 2.0408,                 1.0271,              0.0003905,              0.0003905,              0.0003905
                      8,                0.82229,                 1.3448,                 1.1115,                0.58578,                      1,                0.64133,                0.50906,                 0.6928,                 1.8132,                 1.1015,             0.00044725,             0.00044725,             0.00044725
                      9,                0.93553,                 1.2745,                 1.2789,                0.58578,                      1,                0.64133,                0.50906,                 0.6928,                 1.8132,                 1.1015,             0.00050353,             0.00050353,             0.00050353
                     10,                0.91209,                  1.182,                 1.1481,                0.56899,                      1,                  0.753,                0.62753,                0.64402,                 1.4838,                 1.1071,             0.00055933,             0.00055933,             0.00055933
                     11,                0.98645,                 1.1503,                 1.1812,                0.56899,                      1,                  0.753,                0.62753,                0.64402,                 1.4838,                 1.1071,             0.00061466,             0.00061466,             0.00061466
                     12,                0.88244,                 1.1225,                 1.1039,                      1,                0.64465,                  0.863,                0.78402,                0.52063,                 1.2588,                 1.0346,             0.00066951,             0.00066951,             0.00066951
                     13,                0.84049,                 1.1418,                 1.1136,                      1,                0.64465,                  0.863,                0.78402,                0.52063,                 1.2588,                 1.0346,             0.00072388,             0.00072388,             0.00072388
                     14,                 1.0777,                  1.306,                 1.4436,                0.94492,                0.66667,                  0.863,                0.73721,                0.59713,                 1.1308,                0.95845,             0.00077779,             0.00077779,             0.00077779
                     15,                0.88207,                  1.077,                 1.2317,                0.94492,                0.66667,                  0.863,                0.73721,                0.59713,                 1.1308,                0.95845,             0.00083121,             0.00083121,             0.00083121
                     16,                0.90606,                0.96294,                 1.1515,                0.94492,                0.66667,                  0.863,                0.73721,                0.59713,                 1.1308,                0.95845,             0.00088416,             0.00088416,             0.00088416
                     17,                0.85741,                0.99134,                 1.1315,                0.74577,                0.98308,                 0.9125,                0.76336,                0.65817,                 1.1958,                0.95493,             0.00093664,             0.00093664,             0.00093664
                     18,                 0.8522,                 1.0862,                 1.1915,                0.74577,                0.98308,                 0.9125,                0.76336,                0.65817,                 1.1958,                0.95493,             0.00098864,             0.00098864,             0.00098864
                     19,                0.87785,                  1.031,                  1.156,                0.74577,                0.98308,                 0.9125,                0.76336,                0.65817,                 1.1958,                0.95493,              0.0010402,              0.0010402,              0.0010402
                     20,                0.89632,                 1.1724,                 1.2525,                0.73981,                      1,                 0.9125,                0.65621,                0.99938,                 1.0546,                 1.1504,              0.0010912,              0.0010912,              0.0010912
                     21,                0.92248,                 1.2324,                 1.2463,                0.73981,                      1,                 0.9125,                0.65621,                0.99938,                 1.0546,                 1.1504,              0.0011418,              0.0011418,              0.0011418
                     22,                0.92538,                  1.876,                 1.2572,                0.73981,                      1,                 0.9125,                0.65621,                0.99938,                 1.0546,                 1.1504,              0.0011919,              0.0011919,              0.0011919
                     23,                0.97677,                 1.2289,                 1.2733,                0.73981,                      1,                 0.9125,                0.65621,                0.99938,                 1.0546,                 1.1504,              0.0012415,              0.0012415,              0.0012415
                     24,                0.98284,                 1.3071,                 1.2792,                0.68851,                      1,                 0.9125,                0.53975,                 1.2766,                 2.1381,                 1.4908,              0.0012907,              0.0012907,              0.0012907
                     25,                 1.0006,                 1.4903,                 1.4076,                0.68851,                      1,                 0.9125,                0.53975,                 1.2766,                 2.1381,                 1.4908,              0.0013393,              0.0013393,              0.0013393
                     26,                0.99683,                 1.1366,                 1.2548,                0.68851,                      1,                 0.9125,                0.53975,                 1.2766,                 2.1381,                 1.4908,              0.0013875,              0.0013875,              0.0013875
                     27,                 1.0037,                 1.2323,                  1.293,                0.68851,                      1,                 0.9125,                0.53975,                 1.2766,                 2.1381,                 1.4908,              0.0014353,              0.0014353,              0.0014353
                     28,                0.91073,                 1.1176,                 1.1962,                0.68851,                      1,                 0.9125,                0.53975,                 1.2766,                 2.1381,                 1.4908,              0.0014825,              0.0014825,              0.0014825
                     29,                0.90043,                 1.3825,                 1.2625,                0.59946,                      1,                  0.995,                0.39026,                  1.256,                  3.882,                 1.3337,              0.0015293,              0.0015293,              0.0015293
                     30,                 0.9364,                 1.3233,                 1.2546,                0.59946,                      1,                  0.995,                0.39026,                  1.256,                  3.882,                 1.3337,              0.0015756,              0.0015756,              0.0015756
                     31,                0.99518,                 1.1356,                 1.2829,                0.59946,                      1,                  0.995,                0.39026,                  1.256,                  3.882,                 1.3337,              0.0016214,              0.0016214,              0.0016214
                     32,                 1.0191,                 1.2201,                 1.2444,                0.59946,                      1,                  0.995,                0.39026,                  1.256,                  3.882,                 1.3337,              0.0016668,              0.0016668,              0.0016668
                     33,                0.98262,                 1.4124,                 1.3321,                0.59946,                      1,                  0.995,                0.39026,                  1.256,                  3.882,                 1.3337,              0.0017116,              0.0017116,              0.0017116
                     34,                 1.0544,                 1.5323,                 1.3122,                0.96661,                      1,                  0.995,                0.30995,                 1.1253,                 2.2556,                 1.4595,              0.0017386,              0.0017386,              0.0017386
                     35,                 1.0909,                 1.3494,                  1.268,                0.96661,                      1,                  0.995,                0.30995,                 1.1253,                 2.2556,                 1.4595,              0.0017386,              0.0017386,              0.0017386
                     36,                 1.0363,                 1.2585,                 1.2512,                0.96661,                      1,                  0.995,                0.30995,                 1.1253,                 2.2556,                 1.4595,              0.0017307,              0.0017307,              0.0017307
                     37,                   1.04,                 1.2592,                 1.3591,                0.96661,                      1,                  0.995,                0.30995,                 1.1253,                 2.2556,                 1.4595,              0.0017228,              0.0017228,              0.0017228
                     38,                 1.1292,                 1.3439,                 1.3598,                0.96661,                      1,                  0.995,                0.30995,                 1.1253,                 2.2556,                 1.4595,              0.0017149,              0.0017149,              0.0017149
                     39,                 1.0888,                 1.3091,                 1.2793,                0.96661,                      1,                  0.995,                0.30995,                 1.1253,                 2.2556,                 1.4595,               0.001707,               0.001707,               0.001707
                     40,                 1.1579,                  1.359,                 1.3784,                0.96445,                      1,                  0.995,                0.52117,                 1.0827,                 1.9122,                 1.2658,               0.001699,               0.001699,               0.001699
                     41,                 1.1187,                 1.5649,                 1.2645,                0.96445,                      1,                  0.995,                0.52117,                 1.0827,                 1.9122,                 1.2658,              0.0016911,              0.0016911,              0.0016911
                     42,                 1.1303,                 1.4645,                 1.3031,                0.96445,                      1,                  0.995,                0.52117,                 1.0827,                 1.9122,                 1.2658,              0.0016832,              0.0016832,              0.0016832
                     43,                 1.1228,                 1.5684,                  1.414,                0.96445,                      1,                  0.995,                0.52117,                 1.0827,                 1.9122,                 1.2658,              0.0016753,              0.0016753,              0.0016753
                     44,                 1.1269,                 1.6223,                 1.2689,                0.96445,                      1,                  0.995,                0.52117,                 1.0827,                 1.9122,                 1.2658,              0.0016674,              0.0016674,              0.0016674
                     45,                 1.3169,                 1.5816,                 1.5722,                0.81152,                      1,                  0.995,                0.60785,                 1.1016,                  1.964,                 1.2298,              0.0016594,              0.0016594,              0.0016594
                     46,                 1.3036,                  1.522,                 1.4169,                0.81152,                      1,                  0.995,                0.60785,                 1.1016,                  1.964,                 1.2298,              0.0016515,              0.0016515,              0.0016515
                     47,                 1.2009,                 1.2703,                 1.3171,                0.81152,                      1,                  0.995,                0.60785,                 1.1016,                  1.964,                 1.2298,              0.0016436,              0.0016436,              0.0016436
                     48,                 1.1742,                 1.2717,                 1.2894,                0.81152,                      1,                  0.995,                0.60785,                 1.1016,                  1.964,                 1.2298,              0.0016357,              0.0016357,              0.0016357
                     49,                 1.2172,                 1.5712,                 1.3676,                0.81152,                      1,                  0.995,                0.60785,                 1.1016,                  1.964,                 1.2298,              0.0016278,              0.0016278,              0.0016278
                     50,                 1.1149,                 1.3709,                 1.4045,                   0.72,                      1,                0.74625,                0.51889,                 1.1215,                 2.1986,                 1.3988,              0.0016198,              0.0016198,              0.0016198
                     51,                 1.2925,                 1.3534,                 1.3363,                   0.72,                      1,                0.74625,                0.51889,                 1.1215,                 2.1986,                 1.3988,              0.0016119,              0.0016119,              0.0016119
                     52,                 1.2226,                 1.3371,                 1.3058,                   0.72,                      1,                0.74625,                0.51889,                 1.1215,                 2.1986,                 1.3988,               0.001604,               0.001604,               0.001604
                     53,                 1.1967,                 1.4978,                 1.3925,                   0.72,                      1,                0.74625,                0.51889,                 1.1215,                 2.1986,                 1.3988,              0.0015961,              0.0015961,              0.0015961
                     54,                 1.1566,                  1.241,                 1.2677,                   0.72,                      1,                0.74625,                0.51889,                 1.1215,                 2.1986,                 1.3988,              0.0015882,              0.0015882,              0.0015882
                     55,                 1.3539,                 1.5733,                 1.4425,                   0.72,                      1,                0.74625,                0.51889,                 1.1215,                 2.1986,                 1.3988,              0.0015802,              0.0015802,              0.0015802
                     56,                 1.1756,                 1.5328,                 1.3119,                0.63438,                0.66667,                0.60833,                0.41556,                 1.2415,                 2.2743,                 1.5834,              0.0015723,              0.0015723,              0.0015723
                     57,                 1.1172,                 1.1578,                 1.2148,                0.63438,                0.66667,                0.60833,                0.41556,                 1.2415,                 2.2743,                 1.5834,              0.0015644,              0.0015644,              0.0015644
                     58,                 1.2272,                 1.3533,                 1.3708,                0.63438,                0.66667,                0.60833,                0.41556,                 1.2415,                 2.2743,                 1.5834,              0.0015565,              0.0015565,              0.0015565
                     59,                  1.219,                 1.4931,                 1.3812,                0.63438,                0.66667,                0.60833,                0.41556,                 1.2415,                 2.2743,                 1.5834,              0.0015486,              0.0015486,              0.0015486
                     60,                 1.2247,                 1.3754,                 1.3339,                0.63438,                0.66667,                0.60833,                0.41556,                 1.2415,                 2.2743,                 1.5834,              0.0015406,              0.0015406,              0.0015406
                     61,                 1.3597,                 1.5693,                 1.6082,                 0.4894,                0.66667,                0.45625,                0.27871,                 1.3508,                 2.3047,                 1.6896,              0.0015327,              0.0015327,              0.0015327
                     62,                 1.1497,                 1.2693,                  1.362,                 0.4894,                0.66667,                0.45625,                0.27871,                 1.3508,                 2.3047,                 1.6896,              0.0015248,              0.0015248,              0.0015248
                     63,                 1.2258,                 1.7109,                 1.4555,                 0.4894,                0.66667,                0.45625,                0.27871,                 1.3508,                 2.3047,                 1.6896,              0.0015169,              0.0015169,              0.0015169
